name,typ1,typ2,typ3,lon,lat
浏阳石牛寨风景区,风景名胜,风景名胜,风景名胜,113.592657,28.406653
刘少奇同志纪念馆-花明楼景区,风景名胜,风景名胜,国家级景点,112.644361,28.038386
洋湖湿地,风景名胜,风景名胜,国家级景点,112.927069,28.126316
长沙生态动物园,风景名胜,风景名胜,国家级景点,113.003464,28.032966
江神庙,风景名胜,风景名胜,寺庙道观,112.963289,28.198981
大围山国家森林公园,风景名胜,风景名胜,国家级景点,114.083434,28.422318
大围山峡谷漂流,风景名胜,风景名胜,风景名胜,114.027215,28.402385
千佛洞,风景名胜,风景名胜,省级景点,112.139186,28.214302
沩山漂流,风景名胜,风景名胜,国家级景点,112.023246,28.193727
长沙海底世界,风景名胜,公园广场,水族馆,113.055123,28.232143
世界之窗,风景名胜,风景名胜,风景名胜,113.054787,28.236436
橘子洲景区,风景名胜,风景名胜,风景名胜,112.962112,28.187206
湖南省森林植物园,风景名胜,公园广场,植物园,113.032182,28.103057
徐特立纪念馆,风景名胜,风景名胜,纪念馆,113.082293,28.255957
岳麓书院,风景名胜,风景名胜,国家级景点,112.940827,28.180402
柑橘文化园,风景名胜,风景名胜,风景名胜,112.960270,28.168971
象形风景区,风景名胜,风景名胜,风景名胜,113.878509,28.399196
关山古镇,风景名胜,风景名胜,风景名胜,112.678517,28.297057
靖港古镇,风景名胜,风景名胜,国家级景点,112.790291,28.457491
宁乡沩山龙泉漂流,风景名胜,风景名胜相关,旅游景点,112.039154,28.216831
长沙石燕湖生态旅游景区,风景名胜,风景名胜,国家级景点,113.088063,28.008977
洗心禅寺,风景名胜,风景名胜,寺庙道观,112.861146,28.280145
长沙黑麋峰森林公园,风景名胜,风景名胜,国家级景点,112.988042,28.42065
岳麓山国家重点风景名胜区,风景名胜,风景名胜,国家级景点,112.937353,28.182849
秋收起义文家市会师旧址,风景名胜,风景名胜,国家级景点,113.93245,28.042913
道吾山,风景名胜,风景名胜,省级景点,113.600459,28.189297
和平鸽广场,风景名胜,公园广场,城市广场,112.967414,28.172674
天心阁,风景名胜,风景名胜,国家级景点,112.981344,28.183718
北正街教堂,风景名胜,风景名胜,教堂,112.976135,28.203496
桃花岭公园,风景名胜,公园广场,公园,112.903672,28.174134
白沙古井,风景名胜,风景名胜,风景名胜,112.98047,28.179056
长沙湘江风光带,风景名胜,风景名胜,风景名胜,112.968025,28.17906
浏阳皇龙峡漂流,风景名胜,风景名胜相关,旅游景点,113.718495,28.323418
长沙园林生态园,风景名胜,风景名胜,风景名胜,113.040259,28.295961
湖南雷锋纪念馆,风景名胜,风景名胜,国家级景点,112.845095,28.203884
长沙海立方海洋公园,风景名胜,公园广场,水族馆,113.034201,28.130434
太阳山森林公园,风景名胜,风景名胜,风景名胜,112.964058,28.357274
天心公园,风景名胜,公园广场,公园,112.981759,28.184675
白沙广场,风景名胜,公园广场,城市广场,112.985193,28.17747
石霜寺,风景名胜,风景名胜,风景名胜,113.647604,27.906556
王震故居,风景名胜,风景名胜,纪念馆,113.426148,28.248615
湖南省立第一师范学校旧址,风景名胜,风景名胜,风景名胜,112.971694,28.175638
望江亭,风景名胜,风景名胜,风景名胜,112.960304,28.166012
梅溪湖公园,风景名胜,公园广场,公园,112.902673,28.19284
